"yield","geno","rep","row","col","rowcode","colcode"
792,"85","1",22,4,"2","4"
571,"89","1",1,5,"2","1"
726,"90","1",2,5,"2","1"
633,"86","1",3,5,"1","1"
595,"91","1",4,5,"2","1"
684,"92","1",5,5,"2","1"
744,"93","1",6,5,"1","1"
740,"94","1",7,5,"2","1"
705,"95","1",8,5,"2","1"
734,"96","1",9,5,"1","1"
637,"7","1",10,5,"2","1"
837,"99","1",11,5,"2","1"
657,"100","1",12,5,"1","1"
765,"101","1",13,5,"2","1"
689,"29","1",14,5,"2","1"
537,"104","1",15,5,"1","1"
633,"105","1",16,5,"2","1"
629,"22","1",17,5,"2","1"
614,"31","1",18,5,"1","1"
714,"41","1",19,5,"2","1"
684,"12","1",20,5,"2","1"
722,"82","1",21,5,"1","1"
791,"82","1",22,5,"2","1"
642,"104","2",1,6,"2","2"
687,"18","2",2,6,"2","2"
625,"70","2",3,6,"1","2"
619,"22","2",4,6,"2","2"
781,"56","2",5,6,"2","2"
729,"41","2",6,6,"1","2"
708,"37","2",7,6,"2","2"
650,"53","2",8,6,"2","2"
620,"86","2",9,6,"1","2"
785,"40","2",10,6,"2","2"
741,"50","2",11,6,"2","2"
847,"16","2",12,6,"1","2"
657,"80","2",13,6,"2","2"
704,"78","2",14,6,"2","2"
662,"26","2",15,6,"1","2"
710,"95","2",16,6,"2","2"
817,"96","2",17,6,"2","2"
754,"17","2",18,6,"1","2"
925,"82","2",19,6,"2","2"
821,"87","2",20,6,"2","2"
767,"44","2",21,6,"1","2"
875,"58","2",22,6,"2","2"
665,"62","2",1,7,"2","3"
715,"92","2",2,7,"2","3"
644,"91","2",3,7,"1","3"
716,"36","2",4,7,"2","3"
696,"57","2",5,7,"2","3"
608,"68","2",6,7,"1","3"
785,"23","2",7,7,"2","3"
631,"102","2",8,7,"2","3"
617,"33","2",9,7,"1","3"
758,"47","2",10,7,"2","3"
776,"105","2",11,7,"2","3"
736,"2","2",12,7,"1","3"
631,"104","2",13,7,"2","3"
782,"28","2",14,7,"2","3"
702,"90","2",15,7,"1","3"
638,"32","2",16,7,"2","3"
635,"21","2",17,7,"2","3"
592,"39","2",18,7,"1","3"
534,"76","2",19,7,"2","3"
706,"84","2",20,7,"2","3"
596,"79","2",21,7,"1","3"
735,"89","2",22,7,"2","3"
738,"4","2",1,8,"2","4"
727,"67","2",2,8,"2","4"
749,"19","2",3,8,"1","4"
719,"103","2",4,8,"2","4"
655,"35","2",5,8,"2","4"
535,"14","2",6,8,"1","4"
780,"107","2",7,8,"2","4"
661,"11","2",8,8,"2","4"
687,"73","2",9,8,"1","4"
757,"30","2",10,8,"2","4"
763,"6","2",11,8,"2","4"
754,"29","2",12,8,"1","4"
910,"75","2",13,8,"2","4"
733,"97","2",14,8,"2","4"
868,"82","2",15,8,"1","4"
791,"10","2",16,8,"2","4"
696,"25","2",17,8,"2","4"
712,"7","2",18,8,"1","4"
850,"52","2",19,8,"2","4"
803,"3","2",20,8,"2","4"
802,"83","2",21,8,"1","4"
793,"88","2",22,8,"2","4"
678,"74","2",1,9,"2","1"
509,"71","2",2,9,"2","1"
532,"100","2",3,9,"1","1"
443,"27","2",4,9,"2","1"
680,"42","2",5,9,"2","1"
644,"98","2",6,9,"1","1"
516,"12","2",7,9,"2","1"
572,"77","2",8,9,"2","1"
584,"72","2",9,9,"1","1"
624,"13","2",10,9,"2","1"
651,"64","2",11,9,"2","1"
611,"59","2",12,9,"1","1"
593,"8","2",13,9,"2","1"
651,"5","2",14,9,"2","1"
558,"85","2",15,9,"1","1"
594,"45","2",16,9,"2","1"
690,"101","2",17,9,"2","1"
602,"89","2",18,9,"1","1"
626,"65","2",19,9,"2","1"
747,"99","2",20,9,"2","1"
637,"34","2",21,9,"1","1"
569,"51","2",22,9,"2","1"
536,"15","2",1,10,"2","2"
735,"81","2",2,10,"2","2"
709,"106","2",3,10,"1","2"
724,"61","2",4,10,"2","2"
637,"69","2",5,10,"2","2"
613,"66","2",6,10,"1","2"
556,"38","2",7,10,"2","2"
618,"9","2",8,10,"2","2"
754,"24","2",9,10,"1","2"
845,"55","2",10,10,"2","2"
906,"60","2",11,10,"2","2"
813,"46","2",12,10,"1","2"
750,"93","2",13,10,"2","2"
740,"31","2",14,10,"2","2"
635,"63","2",15,10,"1","2"
743,"43","2",16,10,"2","2"
711,"54","2",17,10,"2","2"
819,"48","2",18,10,"1","2"
845,"1","2",19,10,"2","2"
818,"49","2",20,10,"2","2"
734,"20","2",21,10,"1","2"
844,"94","2",22,10,"2","2"
568,"5","3",1,11,"2","3"
508,"4","3",2,11,"2","3"
469,"104","3",3,11,"1","3"
628,"46","3",4,11,"2","3"
561,"63","3",5,11,"2","3"
599,"3","3",6,11,"1","3"
637,"48","3",7,11,"2","3"
696,"98","3",8,11,"2","3"
581,"60","3",9,11,"1","3"
553,"8","3",10,11,"2","3"
666,"51","3",11,11,"2","3"
531,"71","3",12,11,"1","3"
547,"15","3",13,11,"2","3"
617,"22","3",14,11,"2","3"
428,"14","3",15,11,"1","3"
549,"86","3",16,11,"2","3"
571,"18","3",17,11,"2","3"
554,"12","3",18,11,"1","3"
668,"69","3",19,11,"2","3"
657,"87","3",20,11,"2","3"
566,"84","3",21,11,"1","3"
578,"35","3",22,11,"2","3"
706,"2","3",1,12,"2","4"
726,"42","3",2,12,"2","4"
686,"81","3",3,12,"1","4"
559,"91","3",4,12,"2","4"
618,"57","3",5,12,"2","4"
527,"25","3",6,12,"1","4"
715,"26","3",7,12,"2","4"
680,"72","3",8,12,"2","4"
473,"80","3",9,12,"1","4"
546,"73","3",10,12,"2","4"
724,"45","3",11,12,"2","4"
627,"52","3",12,12,"1","4"
700,"53","3",13,12,"2","4"
546,"102","3",14,12,"2","4"
673,"17","3",15,12,"1","4"
657,"54","3",16,12,"2","4"
661,"19","3",17,12,"2","4"
733,"96","3",18,12,"1","4"
599,"92","3",19,12,"2","4"
567,"7","3",20,12,"2","4"
663,"10","3",21,12,"1","4"
530,"38","3",22,12,"2","4"
298,"27","3",1,13,"2","1"
439,"89","3",2,13,"2","1"
363,"28","3",3,13,"1","1"
358,"56","3",4,13,"2","1"
317,"37","3",5,13,"2","1"
491,"99","3",6,13,"1","1"
256,"97","3",7,13,"2","1"
328,"68","3",8,13,"2","1"
396,"64","3",9,13,"1","1"
288,"49","3",10,13,"2","1"
315,"74","3",11,13,"2","1"
361,"24","3",12,13,"1","1"
387,"95","3",13,13,"2","1"
350,"21","3",14,13,"2","1"
351,"103","3",15,13,"1","1"
298,"75","3",16,13,"2","1"
485,"94","3",17,13,"2","1"
447,"55","3",18,13,"1","1"
376,"11","3",19,13,"2","1"
395,"67","3",20,13,"2","1"
381,"30","3",21,13,"1","1"
442,"85","3",22,13,"2","1"
371,"79","3",1,14,"2","2"
328,"9","3",2,14,"2","2"
452,"66","3",3,14,"1","2"
399,"82","3",4,14,"2","2"
435,"82","3",5,14,"2","2"
387,"59","3",6,14,"1","2"
503,"101","3",7,14,"2","2"
446,"83","3",8,14,"2","2"
422,"62","3",9,14,"1","2"
379,"90","3",10,14,"2","2"
458,"106","3",11,14,"2","2"
296,"104","3",12,14,"1","2"
487,"65","3",13,14,"2","2"
465,"31","3",14,14,"2","2"
335,"76","3",15,14,"1","2"
369,"78","3",16,14,"2","2"
469,"50","3",17,14,"2","2"
518,"70","3",18,14,"1","2"
573,"88","3",19,14,"2","2"
493,"77","3",20,14,"2","2"
541,"23","3",21,14,"1","2"
423,"33","3",22,14,"2","2"
194,"47","3",1,15,"2","3"
246,"29","3",2,15,"2","3"
283,"100","3",3,15,"1","3"
307,"93","3",4,15,"2","3"
294,"89","3",5,15,"2","3"
257,"107","3",6,15,"1","3"
238,"39","3",7,15,"2","3"
285,"32","3",8,15,"2","3"
254,"40","3",9,15,"1","3"
302,"58","3",10,15,"2","3"
397,"13","3",11,15,"2","3"
393,"34","3",12,15,"1","3"
428,"61","3",13,15,"2","3"
319,"20","3",14,15,"2","3"
458,"43","3",15,15,"1","3"
396,"36","3",16,15,"2","3"
381,"44","3",17,15,"2","3"
343,"41","3",18,15,"1","3"
458,"105","3",19,15,"2","3"
438,"6","3",20,15,"2","3"
508,"1","3",21,15,"1","3"
551,"16","3",22,15,"2","3"
